Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Company_Name
Maruti S Cross DDiS,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5.0,8.25,Maruti
Audi A6 2011-2015 35,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5.0,23.5,Audi
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80.0,5.0,1.87,Hyundai
Volkswagen Vento Petrol Highline,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5.0,2.85,Volkswagen
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5.0,4.25,Honda
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5.0,4.25,Nissan
Maruti Alto K10 2010-2014,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5.0,2.75,Maruti
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5.0,9.9,Honda
Toyota Innova 2.5 V,Mumbai,2007,262000,Diesel,Manual,Fourth,12.8,2494,102.0,7.0,4.0,Toyota
Renault Duster 110PS Diesel,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5.0,7.75,Renault
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5.0,6.75,Toyota
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184.0,7.0,12.5,Mahindra
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5.0,11.5,Audi
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5.0,6.98,Volkswagen
Maruti Wagon R LXI,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061,64.0,5.0,1.85,Maruti
Maruti Vitara Brezza ZDi,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5.0,8.63,Maruti
Mahindra KUV 100 mFALCON,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82.0,5.0,4.85,Mahindra
Mercedes-Benz M-Class ML 350,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5.0,28.0,Mercedes-Benz
Volkswagen Polo Diesel Trendline,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,5.0,Volkswagen
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5.0,1.25,Maruti
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4.0,1.53,Tata
Mahindra KUV 100 mFALCON,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77.0,6.0,5.58,Mahindra
Hyundai i20 Magna Optional,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5.0,4.74,Hyundai
Hyundai Elantra 2.0 SX,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5.0,8.85,Hyundai
Toyota Corolla Altis G,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5.0,10.11,Toyota
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5.0,4.25,Hyundai
Toyota Innova Crysta 2.7,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7.0,10.95,Toyota
Hyundai Xcent 1.1 CRDi,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71.0,5.0,3.85,Hyundai
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105.0,6.0,5.5,Mahindra
Audi A4 2.0 TDI,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5.0,21.43,Audi
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74.0,5.0,4.25,Maruti
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75.0,5.0,3.3,Maruti
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74.0,5.0,3.85,Maruti
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82.0,5.0,3.6,Hyundai
Volkswagen Vento 2013-2015 1.6,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5.0,3.99,Volkswagen
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5.0,3.3,Renault
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.07,Hyundai
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5.0,7.75,Nissan
Maruti Zen Estilo VXI,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5.0,2.25,Maruti
Toyota Innova Crysta 2.4,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8.0,16.5,Toyota
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.75,Ford
Mercedes-Benz New C-Class C,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186.0,5.0,26.7,Mercedes-Benz
Mercedes-Benz New C-Class 200,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170.0,5.0,10.0,Mercedes-Benz
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0,1396,69.0,5.0,2.5,Tata
Audi A4 2.0 TDI,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140.0,5.0,13.5,Audi
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78.0,5.0,1.85,Honda
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,8.15,Maruti
Hyundai Creta 1.4 E,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5.0,10.5,Hyundai
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500.0,5.0,14.5,Porsche
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140.0,7.0,9.65,Mahindra
Hyundai i10 Sportz 1.2,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5.0,3.48,Hyundai
Nissan Terrano XV D,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5.0,6.92,Nissan
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5.0,6.46,Honda
Audi A6 2.0 TDI,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5.0,29.5,Audi
Ford Fiesta 1.4 SXi,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399,113.13736355859707,5.0,2.0,Ford
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132.0,8.0,4.5,Toyota
Toyota Innova 2.5 VX,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102.0,7.0,11.75,Toyota
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74.0,5.0,3.75,Maruti
Tata Zest Revotron 1.2T,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5.0,4.5,Tata
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5.0,4.82,Honda
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399,68.0,5.0,2.8,Ford
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5.0,3.11,Maruti
Honda City i VTEC,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5.0,3.25,Honda
BMW 5 Series 2003-2012,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218.0,5.0,13.9,BMW
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5.0,2.25,Hyundai
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82.0,5.0,5.75,Hyundai
Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086,113.13736355859707,5.0,2.1,Hyundai
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5.0,5.0,Honda
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982,168.5,7.0,16.5,Toyota
Audi A6 2011-2015 35,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5.0,39.58,Audi
Ford Ecosport 1.5 DV5,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5.0,5.5,Ford
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140.0,7.0,8.1,Mahindra
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,Honda
Volkswagen Polo Diesel Highline,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5.0,2.79,Volkswagen
Hyundai Verna Transform SX,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110.0,5.0,3.45,Hyundai
Maruti Wagon R VXI,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5.0,4.45,Maruti
Volkswagen Polo Petrol Highline,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5.0,2.65,Volkswagen
Hyundai i20 1.4 CRDi,Pune,2011,78958,Diesel,Manual,Second,23.0,1396,90.0,5.0,3.8,Hyundai
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5.0,4.65,Hyundai
Datsun GO Plus T,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67.0,7.0,3.95,Datsun
Audi A4 3.0 TDI,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5.0,9.8,Audi
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0,1197,80.0,5.0,2.7,Hyundai
Maruti Omni 5 Str,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796,35.0,5.0,2.41,Maruti
Toyota Etios Liva 1.2,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5.0,3.9,Toyota
Jaguar XF 3.0 Litre,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5.0,24.0,Jaguar
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179,140.0,7.0,5.75,Mahindra
Hyundai Verna 1.6 SX,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5.0,5.25,Hyundai
Toyota Innova Crysta 2.8,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7.0,19.25,Toyota
Maruti Eeco 5 Seater,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73.0,5.0,3.91,Maruti
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4.0,2.15,Tata
BMW 3 Series 320d,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190.0,5.0,20.75,BMW
Honda Civic 2006-2010 1.8,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130.0,5.0,3.35,Honda
Toyota Innova 2.5 VX,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7.0,11.11,Toyota
Volvo V40 Cross Country,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150.0,5.0,20.0,Volvo
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5.0,6.55,Nissan
BMW 5 Series 2010-2013,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215.0,5.0,7.0,BMW
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5.0,7.5,Maruti
Hyundai Santro Xing XL,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086,113.13736355859707,5.0,0.85,Hyundai
Mercedes-Benz B Class B200,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5.0,16.75,Mercedes-Benz
Hyundai Verna CRDi 1.6,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5.0,10.95,Hyundai
Maruti Wagon R LXI,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5.0,2.45,Maruti
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4.0,3.23,Tata
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120.0,8.0,7.75,Mahindra
Mercedes-Benz New C-Class 200,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178.0,5.0,9.35,Mercedes-Benz
Maruti Wagon R LXI,Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5.0,3.25,Maruti
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152.0,5.0,5.25,Honda
Volkswagen Vento 1.5 TDI,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5.0,7.25,Volkswagen
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5.0,7.47,Maruti
Mahindra XUV500 AT W10,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179,140.0,7.0,13.25,Mahindra
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5.0,5.81,Maruti
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5.0,2.6,Maruti
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2.0,54.0,Mercedes-Benz
Hyundai Verna VTVT 1.6,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5.0,11.5,Hyundai
Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5.0,1.6,Maruti
BMW 1 Series 118d,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143.0,5.0,17.22,BMW
Honda Jazz 1.2 V,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5.0,6.0,Honda
Honda Civic 2006-2010 1.8,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130.0,5.0,3.95,Honda
Mercedes-Benz New C-Class C,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170.0,5.0,17.95,Mercedes-Benz
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5.0,3.7,Honda
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0,1197,81.8,5.0,5.43,Maruti
Hyundai Santro Xing XO,Kochi,2008,80759,Petrol,Manual,Third,17.0,1086,113.13736355859707,5.0,1.67,Hyundai
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171.0,7.0,13.49,Toyota
Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5.0,2.85,Chevrolet
Skoda Rapid 1.5 TDI,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5.0,4.75,Skoda
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5.0,9.9,Maruti
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444.0,4.0,37.0,Audi
BMW 3 Series Luxury,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190.0,5.0,26.5,BMW
Audi A4 2.0 TDI,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5.0,23.32,Audi
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74.0,5.0,6.25,Maruti
Mercedes-Benz S Class 2005,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5.0,30.0,Mercedes-Benz
Skoda Rapid 1.5 TDI,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5.0,9.86,Skoda
Skoda Superb Elegance 2.0,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5.0,8.5,Skoda
Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5.0,4.23,Hyundai
Volkswagen Polo Diesel Trendline,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5.0,3.5,Volkswagen
Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5.0,2.5,Datsun
Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5.0,2.39,Honda
Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.25,Mercedes-Benz
Honda City i DTEC,Kochi,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5.0,7.11,Honda
Toyota Innova 2.5 G,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7.0,10.9,Toyota
Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5.0,6.2,Maruti
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140.0,7.0,7.9,Mahindra
Ford Ecosport 1.5 DV5,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5.0,4.42,Ford
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982,168.5,7.0,13.5,Toyota
Volkswagen Vento 1.5 Highline,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5.0,6.25,Volkswagen
Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399,68.0,5.0,2.1,Ford
BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258.0,5.0,45.0,BMW
Mercedes-Benz New C-Class C,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5.0,33.66,Mercedes-Benz
Honda Brio V MT,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5.0,3.65,Honda
Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.75,Hyundai
Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170.0,5.0,42.5,Mercedes-Benz
Hyundai Grand i10 1.2,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5.0,6.5,Hyundai
Audi A6 2011-2015 2.0,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5.0,19.0,Audi
Volkswagen Vento Petrol Highline,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5.0,4.45,Volkswagen
Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112.0,5.0,23.0,Mini
Hyundai i20 Asta 1.4,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5.0,8.35,Hyundai
Audi A6 2011-2015 2.0,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5.0,22.95,Audi
Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5.0,1.5,Chevrolet
Skoda Superb Elegance 1.8,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5.0,6.89,Skoda
Ford Fiesta 1.4 TDCi,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68.0,5.0,1.45,Ford
BMW 5 Series 520d,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190.0,5.0,33.5,BMW
Chevrolet Optra Magnum 1.6,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5.0,1.25,Chevrolet
Volkswagen Polo Diesel Highline,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5.0,4.2,Volkswagen
Renault Lodgy 110PS RxZ,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8.0,6.75,Renault
Mercedes-Benz E-Class E250 CDI,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5.0,32.0,Mercedes-Benz
Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5.0,7.5,Maruti
Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5.0,4.6,Hyundai
Hyundai i10 Magna 1.1,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5.0,4.04,Hyundai
Mahindra Scorpio 1.99 S10,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120.0,7.0,10.31,Mahindra
Land Rover Range Rover,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5.0,55.76,Land
Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.6,Ford
Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7.0,8.5,Maruti
Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,Honda
Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5.0,3.55,Hyundai
Honda Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.25,Honda
Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,106.0,5.0,4.5,Skoda
Renault Duster 85PS Diesel,Delhi,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5.0,5.35,Renault
Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100.0,7.0,6.5,Mahindra
Maruti Vitara Brezza ZDi,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5.0,9.0,Maruti
Hyundai i20 Asta Option,Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5.0,6.0,Hyundai
Skoda Fabia 1.4 MPI,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,85.0,5.0,2.75,Skoda
Tata Indigo eCS GLX,Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5.0,1.5,Tata
Audi Q3 2012-2015 35,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5.0,19.9,Audi
Skoda Octavia Elegance 1.8,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5.0,10.0,Skoda
Toyota Etios Liva GD,Delhi,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5.0,3.0,Toyota
Mercedes-Benz B Class B180,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.96,Mercedes-Benz
Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5.0,3.25,Honda
Hyundai Verna 1.6 SX,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5.0,4.75,Hyundai
Renault Duster 85PS Diesel,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5.0,5.95,Renault
Hyundai Creta 1.6 VTVT,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5.0,8.15,Hyundai
Maruti Wagon R AMT,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,67.0,5.0,4.22,Maruti
Mercedes-Benz New C-Class C250,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,186.0,5.0,10.5,Mercedes-Benz
Audi A8 L 3.0,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5.0,45.0,Audi
Hyundai i10 Magna 1.1,Pune,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5.0,2.9,Hyundai
Skoda Rapid 1.6 MPI,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5.0,8.9,Skoda
Skoda Superb Style 1.8,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5.0,26.0,Skoda
Hyundai i20 Active 1.2,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5.0,8.22,Hyundai
Honda Amaze VX i-DTEC,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5.0,3.5,Honda
Maruti Wagon R LXI,Chennai,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5.0,1.25,Maruti
Mahindra Verito 1.5 D4,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65.0,5.0,3.7,Mahindra
Mercedes-Benz New C-Class C,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5.0,39.41,Mercedes-Benz
Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5.0,2.65,Maruti
